transaction_amount,transaction_time,user_id,location_ASIA,location_EU,location_OTHER,location_US,is_fraud
-0.5216069612226754,1.5033452540648082,0.3123506973282163,0.0,0.0,0.0,1.0,0
2.0861189407214713,-1.2413826450032301,-0.040630174732228234,0.0,0.0,0.0,1.0,0
0.3481753526692373,0.7810484385205877,1.1255909417812013,0.0,0.0,0.0,1.0,0
-0.06625545681363046,-1.096923281894386,-1.2068512912456577,0.0,0.0,1.0,0.0,0
-0.8291364719895777,0.49212971230289937,-1.677492453992917,1.0,0.0,0.0,0.0,0
-0.8291658026943388,0.20321098608521113,0.17046622914705722,0.0,0.0,0.0,1.0,0
-0.9418120274276939,0.9255078016294318,1.187881683909515,0.0,0.0,0.0,1.0,0
1.0609386356108295,0.20321098608521113,-0.5320349181889256,0.0,1.0,0.0,0.0,0
-0.059954269215801895,-0.5190858294590095,-0.14790867506432412,1.0,0.0,0.0,0.0,0
0.26042956661298694,-0.9524639187855419,-1.037282048785248,0.0,0.0,0.0,1.0,0
-0.9818789651722161,0.6365890754117435,-0.2724901593209516,0.0,0.0,0.0,1.0,0
2.5925416975119897,0.9255078016294318,-0.7673554995625552,0.0,0.0,1.0,0.0,0
0.8302207825006657,-0.08570774013247712,-0.27595075610585795,0.0,1.0,0.0,0.0,0
-0.758256058856421,-1.2413826450032301,0.34003547160746683,0.0,0.0,0.0,1.0,0
-0.7972650422950587,0.49212971230289937,1.7000500080756502,0.0,1.0,0.0,0.0,0
-0.7952817486000696,-0.23016710324132125,-0.12714509435488622,0.0,0.0,0.0,1.0,0
-0.6309246665668001,1.3588858909559642,1.5616261366793975,0.0,0.0,0.0,1.0,0
-0.23971846770604424,-1.2413826450032301,1.0736819900076064,0.0,0.0,1.0,0.0,0
-0.4228042872079884,0.6365890754117435,1.045997215728356,0.0,0.0,0.0,1.0,0
-0.649943112785107,-0.6635451925678536,-0.5078107406945813,0.0,0.0,0.0,1.0,0
-0.03194733881215594,0.20321098608521113,0.27774472947915313,0.0,1.0,0.0,0.0,0
-0.8490371469223575,-1.5303013712209184,-0.42821701464173595,1.0,0.0,0.0,0.0,0
-0.648616575597695,-0.23016710324132125,-1.307208598007941,1.0,0.0,0.0,0.0,0
-0.5349397389242194,-0.23016710324132125,-1.459474856543819,0.0,0.0,0.0,1.0,0
-0.37826448683930125,1.6478046171736525,0.19122980985649515,0.0,1.0,0.0,0.0,0
0.5751871643594583,1.3588858909559642,1.6827470241511187,0.0,1.0,0.0,0.0,0
-0.7746276554378162,1.6478046171736525,-0.9300035484531523,0.0,0.0,0.0,1.0,0
-0.26219349342047604,-0.9524639187855419,-0.07523614258129142,0.0,1.0,0.0,0.0,0
-0.08209959663205108,1.21442652784712,-1.2033906944607515,0.0,0.0,0.0,1.0,0
-0.9544100091055667,1.21442652784712,1.4024386845737067,0.0,0.0,1.0,0.0,0
-0.04327569663532706,0.20321098608521113,0.6584103758188482,0.0,1.0,0.0,0.0,0
-0.8113438153279785,-0.3746264663501654,-0.3209385143096401,0.0,0.0,0.0,1.0,0
-0.9341914427732191,-0.6635451925678536,-1.6290440990042288,0.0,1.0,0.0,0.0,0
2.048726408674556,-0.8080045556766977,0.3296536812527479,0.0,0.0,0.0,1.0,0
2.456116063879327,-0.6635451925678536,0.19122980985649515,0.0,1.0,0.0,0.0,0
0.6925934958149534,-0.6635451925678536,0.004357583471553914,0.0,0.0,0.0,1.0,0
-0.6303764783109019,1.5033452540648082,-0.4524411921360802,0.0,0.0,0.0,1.0,0
